"Index","Data ID","Level","Type","Model ID","Colour Type","Need Effect","Name","Description","Sort ID","Rarity","Icon Colour","Price","Skill 1","Skill 1 Lv","Skill 2","Skill 2 Lv","Skill 3","Skill 3 Lv"
0,"00000001",1,"34DACC40",1,"B1DEBC80",false,"Marathon Charm I","A charm that grants the Marathon
Runner skill.",88,4,0,1500,"Marathon Runner",1,"",0,"",0
1,"00000002",2,"34DACC40",4,"B1DEBC80",false,"Marathon Charm II","A charm that grants the Marathon
Runner skill.",89,5,0,3000,"Marathon Runner",2,"",0,"",0
2,"00000003",3,"34DACC40",4,"B1DEBC80",false,"Marathon Charm III","A charm that grants the Marathon
Runner skill.",90,6,0,6000,"Marathon Runner",3,"",0,"",0
3,"00000004",1,"67FAC800",1,"4CC3AC80",false,"Fitness Charm I","A charm that grants the
Constitution skill.",80,4,0,1500,"Constitution",1,"",0,"",0
4,"00000005",2,"67FAC800",4,"4CC3AC80",false,"Fitness Charm II","A charm that grants the
Constitution skill.",81,5,0,3000,"Constitution",2,"",0,"",0
5,"00000006",3,"67FAC800",4,"4CC3AC80",false,"Fitness Charm III","A charm that grants the
Constitution skill.",82,6,0,6000,"Constitution",3,"",0,"",0
6,"00000007",4,"67FAC800",4,"4CC3AC80",false,"Fitness Charm IV","A charm that grants the
Constitution skill.",83,7,0,9000,"Constitution",4,"",0,"",0
8,"00000009",1,"DA42AF80",1,"03C12B20",false,"Sheathe Charm I","A charm that grants the Quick
Sheathe skill.",137,4,0,1500,"Quick Sheathe",1,"",0,"",0
9,"0000000A",2,"DA42AF80",4,"03C12B20",false,"Sheathe Charm II","A charm that grants the Quick
Sheathe skill.",138,5,0,3000,"Quick Sheathe",2,"",0,"",0
10,"0000000B",3,"DA42AF80",4,"03C12B20",false,"Sheathe Charm III","A charm that grants the Quick
Sheathe skill.",139,6,0,6000,"Quick Sheathe",3,"",0,"",0
11,"0000000C",1,"A4DED500",4,"03C12B20",false,"Challenger Charm I","A charm that grants the Agitator
skill.",94,5,0,3000,"Agitator",1,"",0,"",0
12,"0000000D",2,"A4DED500",4,"03C12B20",false,"Challenger Charm II","A charm that grants the Agitator
skill.",95,7,0,9000,"Agitator",2,"",0,"",0
14,"0000000F",1,"9FAA7380",4,"03C12B20",false,"Unscathed Charm I","A charm that grants the Peak
Performance skill.",7,5,0,3000,"Peak Performance",1,"",0,"",0
15,"00000010",2,"9FAA7380",4,"03C12B20",false,"Unscathed Charm II","A charm that grants the Peak
Performance skill.",8,7,0,9000,"Peak Performance",2,"",0,"",0
17,"00000012",1,"699F1E00",4,"03C12B20",false,"Fury Charm I","A charm that grants the
Resentment skill.",1,5,0,3000,"Resentment",1,"",0,"",0
18,"00000013",2,"699F1E00",4,"03C12B20",false,"Fury Charm II","A charm that grants the
Resentment skill.",2,7,0,9000,"Resentment",2,"",0,"",0
20,"00000015",1,"77C54D00",4,"03C12B20",false,"Exploiter Charm I","A charm that grants the Weakness
Exploit skill.",13,5,0,3000,"Weakness Exploit",1,"",0,"",0
21,"00000016",2,"77C54D00",4,"03C12B20",false,"Exploiter Charm II","A charm that grants the Weakness
Exploit skill.",14,7,0,9000,"Weakness Exploit",2,"",0,"",0
23,"00000018",1,"C90218C0",4,"03C12B20",false,"Power Charm I","A charm that grants the Latent
Power skill.",97,5,0,3000,"Latent Power",1,"",0,"",0
24,"00000019",2,"C90218C0",4,"03C12B20",false,"Power Charm II","A charm that grants the Latent
Power skill.",98,7,0,9000,"Latent Power",2,"",0,"",0
26,"0000001B",1,"AE361800",4,"03C12B20",false,"Mighty Charm I","A charm that grants the Maximum
Might skill.",16,5,0,3000,"Maximum Might",1,"",0,"",0
27,"0000001C",2,"AE361800",4,"03C12B20",false,"Mighty Charm II","A charm that grants the Maximum
Might skill.",17,7,0,9000,"Maximum Might",2,"",0,"",0
29,"0000001E",1,"C6EC2E40",1,"03C12B20",false,"Surge Charm I","A charm that grants the Stamina
Surge skill.",85,4,0,1500,"Stamina Surge",1,"",0,"",0
30,"0000001F",2,"C6EC2E40",4,"03C12B20",false,"Surge Charm II","A charm that grants the Stamina
Surge skill.",86,5,0,3000,"Stamina Surge",2,"",0,"",0
31,"00000020",3,"C6EC2E40",4,"03C12B20",false,"Surge Charm III","A charm that grants the Stamina
Surge skill.",87,6,0,6000,"Stamina Surge",3,"",0,"",0
32,"00000021",1,"CC7EAFC0",1,"03C12B20",false,"Defense Charm I","A charm that grants the Defense
Boost skill.",21,2,0,500,"Defense Boost",1,"",0,"",0
33,"00000022",2,"CC7EAFC0",1,"03C12B20",false,"Defense Charm II","A charm that grants the Defense
Boost skill.",22,4,0,1500,"Defense Boost",2,"",0,"",0
34,"00000023",3,"CC7EAFC0",4,"03C12B20",false,"Defense Charm III","A charm that grants the Defense
Boost skill.",23,5,0,3000,"Defense Boost",3,"",0,"",0
35,"00000024",4,"CC7EAFC0",4,"03C12B20",false,"Defense Charm IV","A charm that grants the Defense
Boost skill.",24,6,0,6000,"Defense Boost",4,"",0,"",0
37,"00000026",1,"4BA00B00",1,"03C12B20",false,"Blessing Charm I","A charm that grants
the Divine Blessing skill.",26,3,0,500,"Divine Blessing",1,"",0,"",0
38,"00000027",2,"4BA00B00",1,"03C12B20",false,"Blessing Charm II","A charm that grants
the Divine Blessing skill.",27,4,0,1500,"Divine Blessing",2,"",0,"",0
39,"00000028",3,"4BA00B00",4,"03C12B20",false,"Blessing Charm III","A charm that grants
the Divine Blessing skill.",28,5,0,3000,"Divine Blessing",3,"",0,"",0
40,"00000029",1,"64DED900",1,"03C12B20",false,"Recovery Charm I","A charm that grants the Recovery
Up skill.",71,3,0,500,"Recovery Up",1,"",0,"",0
41,"0000002A",2,"64DED900",1,"03C12B20",false,"Recovery Charm II","A charm that grants the Recovery
Up skill.",72,4,0,1500,"Recovery Up",2,"",0,"",0
42,"0000002B",3,"64DED900",4,"03C12B20",false,"Recovery Charm III","A charm that grants the Recovery
Up skill.",73,5,0,3000,"Recovery Up",3,"",0,"",0
