"Index","Recipe Number","ID","Name","Uprades From","Key Item","Key Monster","Key Story","Item 1","Number 1","Item 2","Number 2","Item 3","Number 3","Item 4","Number 4","Can Shortcut"
0,0,1,"Hope Strongarm I","","","-","00000000","","","","","","","","",false
1,1,2,"Hope Strongarm II","Hope Strongarm I","","-","00000000","Iron Ore",2,"","","","","","",false
2,2,3,"Hope Strongarm III","Hope Strongarm II","","-","86FD6D00","Dragonite Ore",3,"Machalite Ore",2,"","","","",false
3,3,4,"Hope Strongarm IV","Hope Strongarm III","","-","65760700","Carbalite Ore",4,"","","","","","",false
4,4,5,"Hope Strongarm V","Hope Strongarm IV","","-","0D846690","Monster Hardbone",4,"Fucium Ore",5,"","","","",false
5,5,72,"Esperanza Strongarm","Hope Strongarm V","","Arkveld","00000000","Hunter Symbol I",5,"Bird Wyvern Gem",1,"","","","",false
6,6,6,"Bone Strongarm I","","","-","00000000","Mystery Bone",2,"","","","","","",false
7,7,7,"Bone Strongarm II","Bone Strongarm I","","-","E00F49A0","Sturdy Bone",2,"Monster Fluid",1,"","","","",false
8,8,8,"Bone Strongarm III","Bone Strongarm II","","-","B89E2700","Tough Guardian Bone",2,"","","","","","",false
9,9,9,"Bone Strongarm IV","Bone Strongarm III","","-","85F88180","Great Stoutbone",4,"Colossal Bone",2,"","","","",false
10,10,10,"Hard Bone Strongarm","Bone Strongarm IV","","Arkveld","00000000","Hunter Symbol I",5,"Monster Hardbone",5,"Dragonbone Relic",1,"Beast Gem",1,false
11,11,11,"Hyperguard I","","","-","E00F49A0","Machalite Ore",1,"Earth Crystal",2,"","","","",false
12,12,12,"Hyperguard II","Hyperguard I","","-","B89E2700","Lightcrystal",1,"Icium",2,"","","","",false
13,13,13,"Hyperguard III","Hyperguard II","","-","85F88180","Fucium Ore",4,"Gracium",3,"Monster Keenbone",3,"","",false
14,14,14,"Regas Hyper","Hyperguard III","","Arkveld","00000000","Hunter Symbol I",5,"Novacrystal",1,"Wyvern Gem",1,"","",false
15,15,15,"Chata Strongarm I","","","Chatacabra","00000000","Chatacabra Scale",3,"Chatacabra Hide",2,"Chatacabra Jaw",1,"","",false
16,16,16,"Chata Strongarm II","Chata Strongarm I","","Rompopolo","00000000","Rompopolo Claw",1,"Chatacabra Shell",2,"","","","",false
17,17,17,"Chata Strongarm III","Chata Strongarm II","","-","65760700","Chatacabra Certificate S",2,"Chatacabra Scale+",5,"Chatacabra Jaw+",3,"","",true
18,18,18,"Chata Strongarm IV","Chata Strongarm III","Uth Duna Certificate S","-","00000000","Uth Duna Certificate S",3,"Chatacabra Carapace",6,"Acute Fang",6,"","",false
19,19,73,"Shrouded Kutharja","Chata Strongarm IV","","Arkveld","00000000","Hunter Symbol I",5,"Chatacabra Hide+",6,"Beast Gem",1,"","",false
20,20,19,"Barina Bouclier I","","","Lala Barina","00000000","Lala Barina Shell",3,"Lala Barina Mucus",2,"Lala Barina Claw",1,"","",false
21,21,20,"Barina Bouclier II","Barina Bouclier I","","Nerscylla","00000000","Nerscylla Claw",1,"Lala Barina Floret",2,"Lala Barina Stinger",1,"","",false
