"Index","Recipe Number","ID","Name","Uprades From","Key Item","Key Monster","Key Story","Item 1","Number 1","Item 2","Number 2","Item 3","Number 3","Item 4","Number 4","Can Shortcut"
0,0,1,"Hope Daggers I","","","-","00000000","","","","","","","","",false
1,1,2,"Hope Daggers II","Hope Daggers I","","-","00000000","Iron Ore",2,"","","","","","",false
2,2,3,"Hope Daggers III","Hope Daggers II","","-","86FD6D00","Dragonite Ore",3,"Machalite Ore",2,"","","","",false
3,3,4,"Hope Daggers IV","Hope Daggers III","","-","65760700","Carbalite Ore",4,"","","","","","",false
4,4,5,"Hope Daggers V","Hope Daggers IV","","-","0D846690","Monster Hardbone",4,"Fucium Ore",5,"","","","",false
5,5,74,"Esperanza Daggers","Hope Daggers V","","Arkveld","00000000","Hunter Symbol I",5,"Bird Wyvern Gem",1,"","","","",false
6,6,6,"Bone Hatchets I","","","-","00000000","Mystery Bone",2,"","","","","","",false
7,7,7,"Bone Hatchets II","Bone Hatchets I","","-","E00F49A0","Sturdy Bone",2,"Monster Fluid",1,"","","","",false
8,8,8,"Bone Hatchets III","Bone Hatchets II","","-","B89E2700","Tough Guardian Bone",2,"","","","","","",false
9,9,9,"Bone Hatchets IV","Bone Hatchets III","","-","85F88180","Great Stoutbone",4,"Colossal Bone",2,"","","","",false
10,10,10,"Wild Hatchets","Bone Hatchets IV","","Arkveld","00000000","Hunter Symbol I",5,"Monster Hardbone",5,"Dragonbone Relic",1,"Beast Gem",1,false
11,11,11,"Dual Hatchets I","","","-","E00F49A0","Machalite Ore",1,"Earth Crystal",2,"","","","",false
12,12,12,"Dual Hatchets II","Dual Hatchets I","","-","B89E2700","Lightcrystal",1,"Icium",2,"","","","",false
13,13,13,"Dual Hatchets III","Dual Hatchets II","","-","85F88180","Fucium Ore",4,"Gracium",3,"Monster Keenbone",3,"","",false
14,14,14,"Dual Cleavers","Dual Hatchets III","","Arkveld","00000000","Hunter Symbol I",5,"Novacrystal",1,"Wyvern Gem",1,"","",false
15,15,15,"Quematrice Silexes I","","","Quematrice","00000000","Quematrice Scale",3,"Quematrice Igniter",2,"Quematrice Crest",1,"","",false
16,16,16,"Quematrice Silexes II","Quematrice Silexes I","","Rompopolo","00000000","Firestone",1,"Quematrice Tail",1,"Dragonite Ore",1,"","",false
17,17,17,"Quematrice Silexes III","Quematrice Silexes II","","-","65760700","Quematrice Certificate S",2,"Quematrice Igniter+",5,"Quematrice Crest+",3,"","",true
18,18,18,"Quematrice Silexes IV","Quematrice Silexes III","Nu Udra Certificate S","-","00000000","Nu Udra Certificate S",3,"Quematrice Hide+",6,"Inferno Sac",5,"Wyvern Gem",1,false
19,19,19,"Firetrail Magnesiae","Quematrice Silexes IV","","Arkveld","00000000","Hunter Symbol I",5,"Quematrice Scale+",6,"Nu Udra Flamegem",1,"","",false
20,20,20,"Barina Faucilles I","","","Lala Barina","00000000","Lala Barina Shell",3,"Lala Barina Mucus",2,"Lala Barina Claw",1,"","",false
21,21,21,"Barina Faucilles II","Barina Faucilles I","","Nerscylla","00000000","Nerscylla Claw",1,"Lala Barina Floret",2,"Lala Barina Stinger",1,"","",false
22,22,22,"Barina Faucilles III","Barina Faucilles II","","-","65760700","Lala Barina Certificate S",2,"Lala Barina Mucus+",5,"Lala Barina Claw+",3,"","",true
23,23,23,"Barina Faucilles IV","Barina Faucilles III","Monster Hardbone","-","00000000","Monster Hardbone",3,"Lala Barina Floret+",6,"Lala Barina Stinger+",4,"","",false
24,24,24,"Lala Harpactirs","Barina Faucilles IV","","Arkveld","00000000","Hunter Symbol I",5,"Lala Barina Carapace",6,"Monster Broth",4,"Bird Wyvern Gem",1,false
25,25,25,"Pink Maracas I","","","Congalala","00000000","Congalala Pelt",3,"Congalala Claw",2,"Congalala Fang",1,"","",false
26,26,26,"Pink Maracas II","Pink Maracas I","","-","65760700","Congalala Certificate S",1,"Congalala Claw+",5,"Congalala Fang+",4,"Conga Pelt+",2,true
