"Index","EM ID","Species","Name","Description","Extra Name","Extra Description","Frenzied Name","Tempered Name","Arch-tempered Name","Enemy Features Raw","Features","Tips","First Capture Raw","Endemic Life Description","Memo Raw","Endemic Life Features","Grammar Raw","Grammar","Boss Icon Type Raw","Large Monster Icon","Small Monster Icon","Item Icon","Map Icon","Endemic Life Icon","Icon Colour","Is Map Draw","Palico Pickup","Alma Pickup","Support Hunter Pickup","Category For NPC","Map Filtering Type","Scoutfly Target Type","Animation Type"
0,"INVALID","","","","","","","","","5F03D253-0BE3-4B97-8854-5D4A567E38BF","","","CDD905AB-ECBE-42E8-8AFF-9D2AA041606E","","6066E9AB-6E89-43A4-A6FD-DD7E3024CD2C","","6BC6D8CB-F05D-496B-B52F-C5B3E635B5E2","","00000000","","","","","","I_NONE",false,false,false,false,"INVALID","INVISIBLE","NONE","GET"
1,"EM0001_00_0","Flying Wyvern","Rathian","The ""Queen of the Land,"" these female fire-
breathing wyverns are known for their powerful
legs and lethal, poison-secreting tails.","","","","Tempered Rathian","","2BA1D432-D160-4A01-A202-7FB4337A0BE9","Fire-breathing female wyverns known as
the ""Queens of the Land."" Their powerful
legs and venomous tails make them
efficient ground hunters. At times, Rathian
and Rathalos can be sighted hunting as a
couple. After laying eggs, Rathian are
extremely watchful of their nests. Proceed
with extra caution, as a mother will move
swiftly to protect her young.","Hunters will need to maneuver carefully
to avoid the potent venom in the
Rathian's tail spikes and her wide
attack range. By severing the tail, you
can limit her reach and gain the upper
hand. After breathing fire, the inside
of the Rathian's mouth becomes tender,
making it a prime target to strike.","30F1DF52-68DC-47D0-8B78-21F8635D1056","","EA3408DF-88A9-4361-B2ED-D114BBC1BB62","","921F6AA3-7F74-4978-916A-272BCFFAE395","","00000007",CellImage,"","","","","I_NONE",true,false,false,false,"INVALID","NON_FILTERING_TARGET","NONE","GET"
2,"EM0002_00_0","Flying Wyvern","Rathalos","Fearsome wyverns known as ""Kings of the Skies.""
Armed with powerful poison claws, they use their
aerial prowess to descend on prey from above.","","","","Tempered Rathalos","","80E09613-A7C3-400A-BA14-A7DF0A4782AD","Fearsome male wyverns known as the
""Kings of the Skies."" Alongside the Rathian,
they stake out a wide territory around their
nests, and it is the male's role to watch
from above. Armed with powerful poisonous
claws and fiery breath, Rathalos use their
aerial prowess to descend on invaders.","As Kings of the Skies, Rathalos will attack
with a variety of aerial strikes. A bright
flash should be enough to disorient them
and bring them down. When Rathalos
are in trouble, their Rathian mates may
swoop in to help, so be sure to have dung
pods and large dung pods at the ready.","284F71B6-24D7-47E1-89F9-86342DB3A76C","","24EE63BA-DF5C-4F3D-B302-1B4DDCF546D5","","E3B2D85C-BF75-4801-9CBF-1AECD8480757","","00000018",CellImage,"","","","","I_NONE",true,false,false,false,"INVALID","NON_FILTERING_TARGET","NONE","GET"
3,"EM0002_50_0","Construct","Guardian Rathalos","An artificial species created by an ancient
civilization with a Rathalos's power. Beware the
energy released by their powerful claw attacks.","","","","Tempered Guardian Rathalos","","751732DD-F199-43CA-8086-1BCDA90D33FF","An artificial monster species created by
an ancient civilization and imbued with
Rathalos's power. Guardian Rathalos cannot
reproduce and do not require food, relying
instead on Wyvern Milk for energy. Just like
the original Rathalos, they are superior
fliers and will attack more violently with
their claws while airborne.","The unique Guardian energy from Guardian
Rathalos's claw attacks is explosive and
dangerous. This energy will cause wyvern
milk on the ground to crystalize, and if
these crystals are hit by the monster's fire
attacks it will cause an explosion of the
same element. Given that they are triggered
by elemental interference, Slinger ammo
could be used effectively against them.","BE75B80B-1F7C-427F-B3EB-3DD2C63EB140","","1B6C0840-3DA4-4151-B551-F4881CA70AAE","","0B1B9D0D-5BFF-43D6-8ADB-35AB153CA137","","00000012",CellImage,"","","","","I_NONE",true,false,false,false,"INVALID","NON_FILTERING_TARGET","NONE","GET"
4,"EM0005_00_0","Flying Wyvern","Gravios","Large wyverns found in the Oilwell Basin.
Their highly developed carapaces repel
attacks and emit powerful heat rays.","","","","Tempered Gravios","","59A1B9EC-21BD-4B8F-836B-19B5C36F818C","Large wyverns found in Oilwell Basin. They
have a developed physique, powerful heat
rays, and a host of gases they can emit
from their body. Their bony carapaces are
famously tough but expose a surprisingly
brittle interior once destroyed.","It's no easy task breaking through that
heavy armor covering a Gravios head to
talon, but repeated attacks will eventually
make a crack. That—and the weaknesses
a Gravios exposes in its carapace during
certain attacks—are your chances to deliver
Focus Strikes, demolish it piece by piece,
and create even more opportunities.","2BDC80AC-1FE4-454C-9688-FDC50C9F7C2E","","1E2C410F-D481-416C-BBBC-95D8D54ABE76","","335FF40A-49F4-4074-928A-72528F4DB95A","","0000001A",CellImage,"","","","","I_NONE",true,false,false,false,"INVALID","NON_FILTERING_TARGET","NONE","GET"
5,"EM0008_00_0","Bird Wyvern","Yian Kut-Ku","Bird wyverns with impressive beaks, big ears,
and an appetite for insects. Skittish by nature,
they will still put up a fight if threatened.","","","Frenzied Yian Kut-Ku","Tempered Yian Kut-Ku","","50513714-D986-4719-A614-AD6FFC20103F","Bird wyverns with impressive beaks and
large ears. They tend to be skittish but will
sometimes initiate attacks on a perceived
threat. Yian Kut-Ku arrive in large groups
during the season of Plenty in the Scarlet
Forest. The absence of eggs or young
suggests that the purpose of this is not
to breed, but rather to seek out mates
and nourishment.","The Yian Kut-Ku's superior hearing comes
with great sensitivity to sound. A loud
noise is sometimes all it takes to stop them
in their tracks, reason enough to make
liberal use of sonic bombs. But there's a
catch: once a Yian Kut-Ku comes back to
itself, it's going to be really flocking mad
and come at a hunter even more viciously
than before.","B6143E21-5492-445D-ABA5-8AF8A650F387","","8462099A-CA93-43FB-880B-81A95359F820","","F67DD984-CF3E-44BE-9CB3-EEA46F7B7863","","00000015",CellImage,"","","","","I_NONE",true,false,false,false,"INVALID","NON_FILTERING_TARGET","NONE","GET"
6,"EM0009_00_0","Bird Wyvern","Gypceros","Monsters that use their prominent crest to stun
foes with disorienting flashes of light before
finishing them off with poisonous saliva.","","","Frenzied Gypceros","Tempered Gypceros","","841D5D64-61A0-48A1-ADD9-1D351747ACA6","Wyverns that can stun enemies by striking
their prominent crests to produce powerful
flashes of light. Their stretchy, rubbery
hide resists blunt impacts and reduces the
effectiveness of shock traps. A smart hunter
knows to maneuver carefully around the
poisonous filth they spew, which drips from
ceilings or down slopes.","Faced with a Gypceros, a hunter has two
headaches to deal with: the poison and
the flashes. The poison will pool and
hamper your movements, but you can
clear it away with some watermoss. As for
the flashes, destroying its crest will stop
them; in the meantime, it's a good idea
to take cover. If you can see its crest glow
before the attack, that means you're still
inside the dazzling danger radius.","9750DAB0-FB3A-49FC-B165-98A3F4E953FE","","4C848E14-41AD-41FA-8089-C79663CF47C6","","DC9B5E94-91EE-4CBA-BA7B-EA3515D028A5","","00000016",CellImage,"","","","","I_NONE",true,false,false,false,"INVALID","NON_FILTERING_TARGET","NONE","GET"
7,"EM0021_00_0","Fanged Beast","Congalala","Large, pink fanged beasts. Beware their potent
breath, which changes based on their mushroom
diet, and stench, which disables recovery items.","","","","Tempered Congalala","","F5223A04-5C2A-4C12-9860-7983B713D41B","Large fanged beasts with pink fur and
a distinct crest, which the males sculpt
with plant oils and juices as a sign of virility.
Congalala are common in temperate
forests and are therefore well researched.
They're big eaters and love mushrooms,
which they absorb and then exhale as
a variety of potent breaths that inflict
poison, blast, paralysis, and more.","The stench from a Congalala is so rancid
that healing items have no effect. But you
can quickly dispel it with a deodorant or
by evading in water. Those farts are also
trouble, but a hunter might just spot an
opportunity if they watch carefully.
Congalala are also known to use any breath
type—a trick some have attributed to the
black mushrooms they're seen digging up.","077A44DB-8E65-4BA1-B534-48F643B29192","","A2AFF890-469C-4FE2-8DE3-612707810A07","","B50442B1-8129-4D89-95C7-A0A1A988193D","","00000009",CellImage,"","","","","I_NONE",true,false,false,false,"INVALID","NON_FILTERING_TARGET","NONE","GET"
8,"EM0022_00_0","Fanged Beast","Blangonga","Large, white fanged beasts that rule over other
Blango, attacking as a pack. They exhibit a
range of mobility, particularly in snowy climes.","","","Frenzied Blangonga","Tempered Blangonga","","96A2AAAD-30B4-48CC-8FE5-D95DBFDBAE10","Large, white fanged beasts that rule over
other Blango, attacking intruders as
a pack. Its muscularity and mobility allows
it to strike swiftly, even on fresh snow,
and pounce from long distances—so
hunters with long-range weapons still
need to stay on guard. Large tusks are
the mark of a powerful leader.","Blangonga use snowy ground to their
advantage for extra mobility, and can summon
other Blangos to gang up on unwary hunters.
Use extra caution when they're angry,
because they can direct the whole pack at
a chosen target with perilous efficiency.
Watch out for that freezing breath, too.
Destroying a Blangonga's tusks is believed
to undermine its authority with the other
Blangos, disrupting their teamwork.","B13C9FEA-6ED4-403B-A019-7EB94F5C8AD4","","5A07361F-4F65-4793-BE40-D7F1AD56E0AC","","9389FF9D-7559-4FAE-8B69-573EA946D16F","","0000001B",CellImage,"","","","","I_NONE",true,false,false,false,"INVALID","NON_FILTERING_TARGET","NONE","GET"
10,"EM0070_00_0","Temnoceran","Nerscylla","Temnocerans that afflict poison, sleep, and
webbing ailments—skillfully cornering prey,
then hunting it with their pincer-like jaws.","","","Frenzied Nerscylla","Tempered Nerscylla","","9731ABDF-959C-41BF-9BAB-0431ADCDE97A","Temnocerans that inhabit the Iceshard
Cliffs. They weave vast, sticky webs across
their territory, using them and various
status ailments to corner prey before
utilizing pincer-like jaws to finish it off.
Sometimes dead Gypceros can be found
in the webs, the hides of which Nerscylla
are known to adorn themselves with after
devouring the rest of the carcass.","To defend against the poison, sleep, and
binding effects of a Nerscylla's webbing,
a hunter must go in duly prepared. While its
powerful pincers are quite dangerous, they
can and should be targeted as a weakness,
provided they are approached correctly. The
Gypceros hides draped on a Nerscylla's back
are resistant to thunder but susceptible to
fire—qualities that are reversed once the
hide is destroyed.","263A10CB-FF98-4777-963A-DEB1CBC9847C","","09588520-0FE2-4A35-A00C-07636A97F701","","B6C7F8EB-4900-4D5B-AF29-A2A644E5FA82","","0000000E",CellImage,"","","","","I_NONE",true,false,false,false,"INVALID","NON_FILTERING_TARGET","NONE","GET"
11,"EM0071_00_0","Demi Elder","Gore Magala","Monsters draped in great wings like a black
overcoat. They have no eyes, so instead they
use a scattering of fine scales to locate prey.","","","","Tempered Gore Magala","","CE579169-3A63-4707-8504-7EE7645E22D7","Monsters that drape themselves in their
great wings, like a black overcoat. They
have no eye sensory organs, so instead they
use a scattering of fine scales from their
wings to locate prey. When their sensory
capacity increases, antennae appear on their
heads and they unfurl their wings, entering
the aggressive Frenzy State. Their black
scales can Frenzy other creatures as well,
making them fearsome adversaries.","Gore Magala will use its wings to attack
anything it detects with its sensory scales
without abandon. If a hunter contracts the
Frenzy, their natural healing will decrease
and any damage taken will increase, but an
experienced hunter knows to keep attacking
to raise their metabolism before the virus
takes to avoid negative effects. Target the
head to put a stop to Gore Magala's Frenzy.","7155E996-69BB-4558-AF71-9AB92411599F","","F628EBB7-1411-441F-9FD0-B8B73668616E","","0313303D-DFC4-4778-A932-5AFFFB8A5DDE","","0000001C",CellImage,"","","","","I_NONE",true,false,false,false,"INVALID","NON_FILTERING_TARGET","NONE","GET"
14,"EM0082_00_0","Leviathan","Mizutsune","Specially evolved leviathans, Mizutsune
can secrete a peculiar foam that deftly
covers their foes in dangerous bubbles.","","","","Tempered Mizutsune","","99216CAC-2112-4BF1-92C0-43725A852D8C","Specially evolved leviathans with sleek,
lithe bodies, Mizutsune can secrete
a peculiar foam that covers their foes
in immobilizing bubbles. Once their prey's
movement is impaired, they'll close
in with spry, dance-like movements.","The foam of a Mizutsune allows it to move
with incredible agility even on land, but
that's not all. Different kinds of foam
produce unique effects, such as inflicting
bubbleblight, healing hunters, or boosting
your attacks. They can even employ an
explosive foam when angered. If you are
inflicted with bubbleblight, you'll be left
open for longer after taking an attack,
so fix yourself up quickly with a cleanser.","CEDE417C-D329-49B4-B91F-6E09DF0AFE88","","8A8C6429-8E67-4AC6-B253-025A176D07FE","","A1BDF52A-E0DD-4040-B176-0B979520F34D","","00000021",CellImage,"","","","","I_NONE",true,false,false,false,"INVALID","ALL","NONE","GET"
15,"EM0100_51_0","Construct","Guardian Fulgur Anjanath","An artificial species created by an ancient
civilization with a Fulgur Anjanath's power. They
can discharge lightning and have a nasty bite.","","","","Tempered Guardian Fulgur Anjanath","","9A49E448-A096-47AD-AACD-9473CB2F4590","An artificial monster species created by an
ancient civilization and imbued with Fulgur
Anjanath's power. Guardian Fulgur Anjanath
cannot reproduce and do not require food,
relying instead on Wyvern Milk for energy.
Not only can the lightning charged in their
bodies be released as an attack, they can
also use it to empower themselves and
perform vicious biting attacks.","A hunter must watch out for a Guardian
Fulgur Anjanath's sparks and teeth. While
their lightning attacks alone are a threat,
their maws infused with Guardian energy will
cause wide-range explosions. Try to topple
one by aggressively targeting its legs. The
crystals that form from their attacks will
explode through elemental interference,
so Slinger ammo can also be effective.","B3344203-D86E-4954-BCB6-C123F989B8D0","","DA0710EA-A800-47AD-9967-B740D5DEAD25","","E522E785-E49C-4220-AC14-4CDF4AC58CD6","","00000017",CellImage,"","","","","I_NONE",true,false,false,false,"INVALID","NON_FILTERING_TARGET","NONE","GET"
16,"EM0113_51_0","Construct","Guardian Ebony Odogaron","An artificial species created by an ancient
civilization with an Ebony Odogaron's power.
The flurries from their foreclaws pose a threat.","","","","Tempered Guardian Ebony Odogaron","","8583ABD1-5FF3-4774-A31C-514157656FD5","An artificial monster species created by an
ancient civilization and imbued with Ebony
Odogaron's power. Guardian Ebony Odogaron
cannot reproduce and do not require food,
relying instead on Wyvern Milk for energy.
They will attempt to corner targets with
flurries of attacks from their well-
developed claws and tails.","Guardian Ebony Odogaron are most notable for
their honed claws that induce bleeding and
dexterous tails, both of which carry Guardian
energy that can trigger explosions. If their
dragon-element attacks connect with
Wylkrystals, it will cause an explosion of the
same element. However, since the crystals
are triggered through elemental interference
Slinger ammo can also be used effectively.","73E8EE65-FEA9-473B-A548-3FB7DB6C29E0","","D08E60B7-50BE-4DAE-BFAE-3CCEB73D6BD8","","DE62DE65-AB1C-41EC-A62E-9D5508A6DAC3","","00000013",CellImage,"","","","","I_NONE",true,false,false,false,"INVALID","NON_FILTERING_TARGET","NONE","GET"
17,"EM0150_00_0","Fanged Beast","Doshaguma","Rugged, territorial fanged beasts that exhibit
an aggressive disposition and inhabit a large
range. Sometimes observed in large packs.","Alpha Doshaguma","Alpha Doshaguma are identifiable by their deeper
red color and larger frame. Tread lightly—one
of them is most likely leading a pack.","","Tempered Doshaguma","","CE75B3EB-9795-4302-852E-EA695CAC3081","Fanged beasts that are sometimes seen
traveling in packs. Ruggedly built and
extremely aggressive, Doshaguma won't
hesitate to throw everything they've got at
enemies—even other small monsters. They have
been known to take prey back to their dens,
which sometimes leads to violent disputes.","When Doshaguma are low on health, their
wounds open exposing a weak point. They'll
grow more aggressive, though, so beware of
counterattacks. Their stomachs are exposed
when rising to their hind legs, which is a
relatively soft target and potential weak
point. Use their mobility to lure them into
rock and vine traps. If a Doshaguma pack
attacks during a separate hunt, dung pods and
large dung pods are a hunter's best friend.","A5AE675E-E071-4D55-BFF5-7453E8DF128A","","603A7CEB-EF8C-4B0F-B954-5A4C8DB520A6","","19553860-DCF3-4292-90CC-18F6D86ADC70","","00000003",CellImage,"","","","","I_NONE",true,false,false,false,"INVALID","NON_FILTERING_TARGET","NONE","GET"
18,"EM0150_50_0","Construct","Guardian Doshaguma","An artificial species created by an ancient
civilization with a Doshaguma's power. They boast
an incredibly robust physique and can spew acid.","","","","Tempered Guardian Doshaguma","","478D75FC-5F6E-4E62-92BD-67A1EEEA68FE","An artificial monster species created by
an ancient civilization and imbued with
Doshaguma's power. Guardian Doshaguma
cannot reproduce and do not require food,
relying instead on Wyvern Milk for energy.
While anything but agile, they're tough
enough to charge right through attacks
without flinching, making them extremely
dangerous.","Most Guardian Doshaguma attacks are big
forelimb swings. While not agile, the
attacks that carry Guardian energy will
cause wide explosions. Watch out for the
acid in their saliva, which temporarily
lowers defense. By dealing with their forearm
attacks properly, you can expose a weak point
worth exploiting. The crystals formed by
their attacks will explode from elemental
interference, making Slinger ammo effective.","9565B43E-179B-4BC7-B196-903CEA10E76A","","9ED48D19-0F9A-416A-A32C-F5E440D730FC","","E2847D79-CE77-462B-8159-D2E5129D4C20","","00000011",CellImage,"","","","","I_NONE",true,false,false,false,"INVALID","NON_FILTERING_TARGET","NONE","GET"
19,"EM0151_00_0","Leviathan","Balahara","Desert-dwelling leviathans that use their supple,
serpentine bodies to create quicksand traps. Weak
against sonic bombs when they're submerged.","","","","Tempered Balahara","","C111CC55-DEE2-4B1C-82E8-B554F4E9A1A3","Desert-dwelling leviathans that build
carapaces out of the fulgurite formed by
lightning strikes. They use their flexible
skeletons and serpentine bodies to create
quicksand traps for unwary prey. Inside
their mouths are multiple eye-like sensory
organs. The mucus they secrete contains
luminous bacteria and is believed to aid
visibility while they are submerged and
other low-light conditions like sandstorms.","The interior of a Balahara's mouth is a soft
target that can be exploited if you strike
right after it expels mucus. Since they rely
on heightened hearing while submerged, sonic
bombs or screamer pods—obtainable from
Baunos—are highly effective. Sometimes the
large monster you're hunting will get sucked
into a Balahara sand pit...but there's
nothing stopping you from going after it.","FFAD263F-0533-4D21-8828-0557523C44C0","","5A9FCFBC-785B-4F3E-B4C2-1ACC62178441","","0E7DDF79-3EDC-47CA-B75E-10D97CAB867A","","00000004",CellImage,"","","","","I_NONE",true,false,false,false,"INVALID","NON_FILTERING_TARGET","NONE","GET"
20,"EM0152_00_0","Amphibian","Chatacabra","Amphibians that affix rocks to their forelimbs
to power up attacks. Break this ""armor"" to create
an attack opening. The tongue is most vulnerable.","","","","Tempered Chatacabra","","B84AD91C-C272-4BFA-A200-9CBB23368781","Amphibians that use their long tongues to seize
and devour prey such as Bulaqchi. Their evolved
forelimbs store a sticky mucus-like substance.
When agitated, Chatacabra rub their forelimbs
against the ground to collect stone and ore,
widening the range and destructiveness of their
blows.","The Chatacabra's soft tongue is the place to
strike; look for openings after their attacks or
when they become tired. Destroying the ore
stuck to their forelimbs will leave them wide
open to attack. They roam a wide area, so
environmental elements like falling boulders
or Flashflies will be useful in taking them down.
To give you an idea of how hungry these things
can get, some hunters have witnessed them
swallowing entire barrels during their charges.","03814B16-C331-4D4A-8A7D-A35F0AE3129D","","974DDB8B-89BF-406C-8EB3-AE82EE3E818F","","29D31C60-AEF2-40CB-8A4A-BFE65B17B96F","","00000002",CellImage,"","","","","I_NONE",true,false,false,false,"INVALID","NON_FILTERING_TARGET","NONE","GET"
21,"EM0153_00_0","Brute Wyvern","Quematrice","Brute wyverns that spread flammable vapor which
they then ignite with their tails. They subsist
on prey stolen from other predators.","","","","Tempered Quematrice","","0662E2A3-3B6B-467B-B158-CD96683C3BC4","Brute wyverns with disproportionately long
tails. They spread a flammable substance
which vaporizes quickly, then ignite it by
dragging their tails along the ground. By
nature, Quematrice rarely hunt their own
prey, and instead scavenge herbivore
carrion left behind by other predators.
This often leads to confrontations with
other, smaller carnivores.","Keep an eye on where flammable material
settles on the ground to gauge how much
a Quematrice's fire will spread. Since they
rely on their tails to attack from a distance
as well as to start blazes, a hunter can
weaken this monster significantly by
cutting it off.","89F5639B-CCED-46C3-81CD-FB9B5F29983E","","83D183C2-F4A4-4CB8-AA0A-4B1BA3BF6BAA","","23236584-BB19-436D-853F-2AE637D99306","","00000005",CellImage,"","","","","I_NONE",true,false,false,false,"INVALID","NON_FILTERING_TARGET","NONE","GET"
22,"EM0154_00_0","Temnoceran","Lala Barina","Temnocerans native to the Scarlet Forest
with distinctive, pirouette-like movements.
The florets they release have a paralytic effect.","","","","Tempered Lala Barina","","1E8E87C5-2FFC-4B20-9747-0DFF4A1657DD","Temnocerans native to the Scarlet Forest
with distinctive, pirouette-like movements.
Their fluids contain a neuroplegic agent
which they mix with water to produce red,
petal-like bristles on their abdomens.
When agitated, Lala Barina open these
bristles like a deadly, blossoming flower
and release them as florets that paralyze
whatever they come into contact with.","The paralytic effects of a single Lala
Barina floret are weak and not enough to
subdue a hunter, but repeated contact should
be avoided. The stinger on their abdomens
makes approaching from the rear a risky bet,
but when tired, the stinger will stay exposed
and vulnerable. There are reports that when
in terrain such as their nests where they
hang from above, sustained attacks will
knock them down.","90A8BB8C-66BD-41C1-AC33-027D7354F4FA","","74BBBE32-E13A-4103-805D-1186A817BB7C","","F7DDBC92-E8EA-4E82-BB97-6A78B1A9897B","","00000008",CellImage,"","","","","I_NONE",true,false,false,false,"INVALID","NON_FILTERING_TARGET","NONE","GET"
23,"EM0155_00_0","Brute Wyvern","Rompopolo","Dappled brute wyverns that prowl Oilwell Basin.
The gas from their tongues is toxic, and the
gas in their tails can detonate the earth.","","","","Tempered Rompopolo","","FC208E4A-143A-4A21-9AA6-69AAAACEBBF2","Dappled brute wyverns that prowl Oilwell
Basin. They use their tails to inject gas
into the ground and detonate it, then
feed on the small creatures that are
unearthed. The toxic gas they spray from
their tongues serve to weaken prey, which
they then finish off with the blasts.
Rompopolo are extremely territorial and
will readily engage their own kind.","Hunters must be wary of the Rompopolo's
poisonous explosions. Gas sacs can be found
all over their bodies; the anterior ones contain
poison, while the posterior sacs are for
explosions. If you see one start to swell,
strike it to shrink it back down. When
fighting in oilsilt, the blasts will kick up
rubble that can act as stable footholds.","0ED7E19A-BD9B-4724-915F-2CE7E40974C1","","D0BC8056-E3F1-47AC-BAE4-3885BB053FA6","","E2B8EDB0-DD77-4168-AAFE-D08B8638CC14","","0000000B",CellImage,"","","","","I_NONE",true,false,false,false,"INVALID","NON_FILTERING_TARGET","NONE","GET"
24,"EM0156_00_0","Flying Wyvern","Rey Dau","The flying wyvern that reigns supreme over the
Windward Plains' ecosystem. It is able to store,
amplify, and discharge the Sandtide's lightning.","","","","Tempered Rey Dau","Arch-tempered Rey Dau","2D3C039D-55A4-4DFC-85A4-7EDB7A9635F2","The flying wyvern that reigns supreme over
the Windward Plains' ecosystem. It has
adapted to the Sandtide—when it most
frequently appears—and is able to store,
amplify, and discharge the storm's heavy
lightning to lethal effect. Rey Dau is highly
territorial and will attack any and all
intruders on sight. The fulgurite against
its carapace emits a sound that puts
every monster in the region on guard.","When a Rey Dau's wing or tail touches the
ground while charged, it causes a reaction
that produces a mantle of fulgurite. This
widens the appendage's attack range and
increases the monster's charging capacity—
so make it a point to break these parts.
Their heads may also be vulnerable after
a discharge attack. Hunters are advised
to bring thunder-resistant armor and
ice-based weaponry.","77A2B597-5F3E-46EC-BB56-34BF7D49B946","","09D79D76-A7CC-4A9E-9DC0-B39D9E7456DB","","0D0330BE-6FC8-4974-BC2A-E56DD5D4F63E","","00000006",CellImage,"","","","","I_NONE",true,false,false,false,"INVALID","NON_FILTERING_TARGET","NONE","GET"
25,"EM0157_00_0","Leviathan","Uth Duna","The leviathan that reigns supreme over the
Scarlet Forest's ecosystem. Its protective veil
can also generate a wave to keep foes at bay.","","","","Tempered Uth Duna","","84890E18-F7B4-40B7-B30F-25374C643FAA","The leviathan that reigns supreme over the
Scarlet Forest's ecosystem. It has adapted
to water-rich environments and is sighted
most often during the Downpour. Uth Duna's
secretions when combined with water form
a protective veil that not only absorbs
hostile blows but also adds weight, which it
slams down with enough force to sweep away
surrounding threats in the resulting wave.","Seeing as an Uth Duna's veil reduces attack
damage, the first order of business is to
dispel it quickly. It will fall away once it
loses enough water, but that's not entirely
good news; without the veil weighing the
monster down, an Uth Duna will become more
agile and aggressive. You can dodge their
wave with some creative evading, or by using
things like Wedge Beetles to escape upward.","190CB65A-837C-45CD-B7A6-9E941771972F","","83FC3764-F740-46F1-ACE4-66D3CCD9F3AA","","F96F133F-2CF5-4EE3-9F36-A9B8CCD7D825","","0000000A",CellImage,"","","","","I_NONE",true,false,false,false,"INVALID","NON_FILTERING_TARGET","NONE","GET"
