"Index","Recipe Number","ID","Name","Uprades From","Key Item","Key Monster","Key Story","Item 1","Number 1","Item 2","Number 2","Item 3","Number 3","Item 4","Number 4","Can Shortcut"
0,0,1,"Hope Gunlance I","","","-","00000000","","","","","","","","",false
1,1,2,"Hope Gunlance II","Hope Gunlance I","","-","00000000","Iron Ore",2,"","","","","","",false
2,2,3,"Hope Gunlance III","Hope Gunlance II","","-","86FD6D00","Dragonite Ore",3,"Machalite Ore",2,"","","","",false
3,3,4,"Hope Gunlance IV","Hope Gunlance III","","-","65760700","Carbalite Ore",4,"","","","","","",false
4,4,5,"Hope Gunlance V","Hope Gunlance IV","","-","0D846690","Monster Hardbone",4,"Fucium Ore",5,"","","","",false
5,5,69,"Esperanza Gunlance","Hope Gunlance V","","Arkveld","00000000","Hunter Symbol I",5,"Bird Wyvern Gem",1,"","","","",false
6,6,6,"Bone Gunlance I","","","-","00000000","Mystery Bone",2,"","","","","","",false
7,7,7,"Bone Gunlance II","Bone Gunlance I","","-","E00F49A0","Sturdy Bone",2,"Monster Fluid",1,"","","","",false
8,8,8,"Bone Gunlance III","Bone Gunlance II","","-","B89E2700","Tough Guardian Bone",2,"","","","","","",false
9,9,9,"Bone Gunlance IV","Bone Gunlance III","","-","85F88180","Great Stoutbone",4,"Colossal Bone",2,"","","","",false
10,10,10,"Great Bone Gunlance","Bone Gunlance IV","","Arkveld","00000000","Hunter Symbol I",5,"Monster Hardbone",5,"Dragonbone Relic",1,"Beast Gem",1,false
11,11,11,"Triple Bayonet I","","","-","E00F49A0","Machalite Ore",1,"Earth Crystal",2,"","","","",false
12,12,12,"Triple Bayonet II","Triple Bayonet I","","-","B89E2700","Lightcrystal",1,"Icium",2,"","","","",false
13,13,13,"Triple Bayonet III","Triple Bayonet II","","-","85F88180","Fucium Ore",4,"Gracium",3,"Monster Keenbone",3,"","",false
14,14,14,"Triumvirate Edge","Triple Bayonet III","","Arkveld","00000000","Hunter Symbol I",5,"Novacrystal",1,"Wyvern Gem",1,"","",false
