"Index","Recipe Number","ID","Name","Uprades From","Key Item","Key Monster","Key Story","Item 1","Number 1","Item 2","Number 2","Item 3","Number 3","Item 4","Number 4","Can Shortcut"
0,0,1,"Hope Horn I","","","-","00000000","","","","","","","","",false
1,1,2,"Hope Horn II","Hope Horn I","","-","00000000","Iron Ore",2,"","","","","","",false
2,2,3,"Hope Horn III","Hope Horn II","","-","86FD6D00","Dragonite Ore",3,"Machalite Ore",2,"","","","",false
3,3,4,"Hope Horn IV","Hope Horn III","","-","65760700","Carbalite Ore",4,"","","","","","",false
4,4,5,"Hope Horn V","Hope Horn IV","","-","0D846690","Monster Hardbone",4,"Fucium Ore",5,"","","","",false
5,5,73,"Esperanza Horn","Hope Horn V","","Arkveld","00000000","Hunter Symbol I",5,"Bird Wyvern Gem",1,"","","","",false
6,6,6,"Bone Horn I","","","-","00000000","Mystery Bone",2,"","","","","","",false
7,7,7,"Bone Horn II","Bone Horn I","","-","E00F49A0","Sturdy Bone",2,"Monster Fluid",1,"","","","",false
8,8,8,"Bone Horn III","Bone Horn II","","-","B89E2700","Tough Guardian Bone",2,"","","","","","",false
9,9,9,"Bone Horn IV","Bone Horn III","","-","85F88180","Great Stoutbone",4,"Colossal Bone",2,"","","","",false
10,10,10,"Hardened Bone Horn","Bone Horn IV","","Arkveld","00000000","Hunter Symbol I",5,"Monster Hardbone",5,"Dragonbone Relic",1,"Beast Gem",1,false
11,11,11,"Metal Bagpipe I","","","-","E00F49A0","Machalite Ore",1,"Earth Crystal",2,"","","","",false
12,12,12,"Metal Bagpipe II","Metal Bagpipe I","","-","B89E2700","Lightcrystal",1,"Icium",2,"","","","",false
13,13,13,"Metal Bagpipe III","Metal Bagpipe II","","-","85F88180","Fucium Ore",4,"Gracium",3,"Monster Keenbone",3,"","",false
14,14,14,"Great Bagpipe","Metal Bagpipe III","","Arkveld","00000000","Hunter Symbol I",5,"Novacrystal",1,"Wyvern Gem",1,"","",false
15,15,15,"War Bongo I","","","Congalala","00000000","Congalala Pelt",3,"Congalala Claw",2,"Congalala Fang",1,"","",false
16,16,16,"War Bongo II","War Bongo I","","-","65760700","Congalala Certificate S",1,"Congalala Claw+",5,"Congalala Fang+",4,"Conga Pelt+",2,true
17,17,17,"War Conga","War Bongo II","","Arkveld","00000000","Hunter Symbol I",5,"Vibrant Pelt+",2,"Beast Gem",1,"","",false
18,18,18,"Balahara Horn I","","","Balahara","00000000","Balahara Scale",3,"Balahara Skull",1,"Aqua Sac",1,"","",false
19,19,19,"Balahara Horn II","Balahara Horn I","","-","D9C1E4C0","Guardian Doshaguma Claw",1,"Balahara Shell",2,"Balahara Tail",1,"","",false
20,20,20,"Balahara Horn III","Balahara Horn II","Balahara Certificate S","-","00000000","Balahara Certificate S",2,"Balahara Skull+",2,"Torrent Sac",2,"Balahara Black Pearl",1,true
21,21,21,"Balahara Horn IV","Balahara Horn III","Uth Duna Certificate S","-","00000000","Uth Duna Certificate S",3,"Balahara Carapace",5,"Wyvern Gem",1,"","",false
22,22,22,"Sandsea Ghantisil","Balahara Horn IV","","Arkveld","00000000","Hunter Symbol I",5,"Balahara Scale+",6,"Uth Duna Watergem",1,"","",false
23,23,23,"Dosha Farsounder I","","","Doshaguma","00000000","Doshaguma Fur",3,"Doshaguma Claw",2,"Doshaguma Fang",1,"","",false
