"Index","Recipe Number","ID","Name","Uprades From","Key Item","Key Monster","Key Story","Item 1","Number 1","Item 2","Number 2","Item 3","Number 3","Item 4","Number 4","Can Shortcut"
0,0,1,"Hope Glaive I","","","-","00000000","","","","","","","","",false
1,1,2,"Hope Glaive II","Hope Glaive I","","-","00000000","Iron Ore",2,"","","","","","",false
2,2,3,"Hope Glaive III","Hope Glaive II","","-","86FD6D00","Dragonite Ore",3,"Machalite Ore",2,"","","","",false
3,3,4,"Hope Glaive IV","Hope Glaive III","","-","65760700","Carbalite Ore",4,"","","","","","",false
4,4,5,"Hope Glaive V","Hope Glaive IV","","-","0D846690","Monster Hardbone",4,"Fucium Ore",5,"","","","",false
5,5,73,"Esperanza Glaive","Hope Glaive V","","Arkveld","00000000","Hunter Symbol I",5,"Bird Wyvern Gem",1,"","","","",false
6,6,6,"Bone Staff I","","","-","00000000","Mystery Bone",2,"","","","","","",false
7,7,7,"Bone Staff II","Bone Staff I","","-","E00F49A0","Sturdy Bone",2,"Monster Fluid",1,"","","","",false
8,8,8,"Bone Staff III","Bone Staff II","","-","B89E2700","Tough Guardian Bone",2,"","","","","","",false
9,9,9,"Bone Staff IV","Bone Staff III","","-","85F88180","Great Stoutbone",4,"Colossal Bone",2,"","","","",false
10,10,10,"Aerial Glaive","Bone Staff IV","","Arkveld","00000000","Hunter Symbol I",5,"Monster Hardbone",5,"Dragonbone Relic",1,"Beast Gem",1,false
11,11,11,"Iron Gale I","","","-","E00F49A0","Machalite Ore",1,"Earth Crystal",2,"","","","",false
12,12,12,"Iron Gale II","Iron Gale I","","-","B89E2700","Lightcrystal",1,"Icium",2,"","","","",false
13,13,13,"Iron Gale III","Iron Gale II","","-","85F88180","Fucium Ore",4,"Gracium",3,"Monster Keenbone",3,"","",false
14,14,14,"Chrome Gale","Iron Gale III","","Arkveld","00000000","Hunter Symbol I",5,"Novacrystal",1,"Wyvern Gem",1,"","",false
15,15,15,"Chata Glaive I","","","Chatacabra","00000000","Chatacabra Scale",3,"Chatacabra Hide",2,"Chatacabra Jaw",1,"","",false
16,16,16,"Chata Glaive II","Chata Glaive I","","Rompopolo","00000000","Rompopolo Claw",1,"Chatacabra Shell",2,"","","","",false
17,17,17,"Chata Glaive III","Chata Glaive II","","-","65760700","Chatacabra Certificate S",2,"Chatacabra Scale+",5,"Chatacabra Jaw+",3,"","",true
18,18,18,"Chata Glaive IV","Chata Glaive III","Uth Duna Certificate S","-","00000000","Uth Duna Certificate S",3,"Chatacabra Carapace",6,"Acute Fang",6,"","",false
19,19,74,"Shrouded Laphoka","Chata Glaive IV","","Arkveld","00000000","Hunter Symbol I",5,"Chatacabra Hide+",6,"Beast Gem",1,"","",false
20,20,19,"Barina Perche I","","","Lala Barina","00000000","Lala Barina Shell",3,"Lala Barina Mucus",2,"Lala Barina Claw",1,"","",false
21,21,20,"Barina Perche II","Barina Perche I","","Nerscylla","00000000","Nerscylla Claw",1,"Lala Barina Floret",2,"Lala Barina Stinger",1,"","",false
22,22,21,"Barina Perche III","Barina Perche II","","-","65760700","Lala Barina Certificate S",2,"Lala Barina Mucus+",5,"Lala Barina Claw+",3,"","",true
23,23,22,"Barina Perche IV","Barina Perche III","Monster Hardbone","-","00000000","Monster Hardbone",3,"Lala Barina Floret+",6,"Lala Barina Stinger+",4,"","",false
24,24,23,"Lala Stromatopelm","Barina Perche IV","","Arkveld","00000000","Hunter Symbol I",5,"Lala Barina Carapace",6,"Monster Broth",4,"Bird Wyvern Gem",1,false
25,25,24,"Balahara Glaive I","","","Balahara","00000000","Balahara Scale",3,"Balahara Skull",1,"Aqua Sac",1,"","",false
26,26,25,"Balahara Glaive II","Balahara Glaive I","","-","D9C1E4C0","Guardian Doshaguma Claw",1,"Balahara Shell",2,"Balahara Tail",1,"","",false
27,27,26,"Balahara Glaive III","Balahara Glaive II","Balahara Certificate S","-","00000000","Balahara Certificate S",2,"Balahara Skull+",2,"Torrent Sac",2,"Balahara Black Pearl",1,true
28,28,27,"Balahara Glaive IV","Balahara Glaive III","Uth Duna Certificate S","-","00000000","Uth Duna Certificate S",3,"Balahara Carapace",5,"Wyvern Gem",1,"","",false
29,29,28,"Sandsea Uchaltiya","Balahara Glaive IV","","Arkveld","00000000","Hunter Symbol I",5,"Balahara Scale+",6,"Uth Duna Watergem",1,"","",false
30,30,29,"Rey Halilintar I","","","Rey Dau","00000000","Rey Dau Scale",3,"Rey Dau Wingtalon",2,"Rey Dau Thunderhorn",1,"","",false
31,31,30,"Rey Halilintar II","Rey Halilintar I","","Rathian","00000000","Rathian Certificate S",2,"Rathian Webbing",3,"Novacrystal",1,"","",false
32,32,31,"Rey Halilintar III","Rey Halilintar II","Rey Dau Certificate S","-","00000000","Rey Dau Certificate S",3,"Rey Dau Fulgurtalon",4,"Rey Dau Tail",1,"Rey Dau Plate",1,false
33,33,32,"Halilintar Clairglaive","Rey Halilintar III","","Arkveld","00000000","Hunter Symbol III",5,"Rey Dau Carapace",6,"Rey Dau Bolthorn",4,"Rey Dau Boltgem",1,false
