"ID","Name","Description","Sort ID","Type","Item Group","Text Type","Icon Type","Icon","Equip Icon","Icon Colour","Add Icon Type","Rarity","Max Count","Palico Max","Enable On Raptor","Sell Price","Buy Price","Fixed","Shikyu","Eatable","Window","Infinite","Heal Raw","Heal","Battle Raw","Battle","Special Raw","Special","For money Raw","For Money","Out Box Raw","Out Box","Non Level Shell Raw","Non Level Shell","Column 30","Column 31","Get Rank 1 Raw","Get Rank 2 Raw","Get Rank 1","Get Rank 2"
1,"---","---",0,"EXPENDABLE","INVALID","INVALID","ITEM_0000",CellImage,"INVALID","I_WHITE","INVALID",1,10,10,false,10,100,true,false,false,true,false,"00",false,"00",false,"00",false,"00",false,"01",true,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
2,"Potion","Restores a small amount of health.",2,"EXPENDABLE","INVALID","TYPE_00","ITEM_0009",CellImage,"INVALID","I_GREEN","INVALID",1,10,10,true,8,66,false,false,true,true,false,"01",true,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
3,"Mega Potion","Restores a moderate amount
of health.",2,"EXPENDABLE","INVALID","TYPE_00","ITEM_0009",CellImage,"INVALID","I_GREEN","GREAT",2,10,10,true,16,165,false,false,true,true,false,"01",true,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
4,"Antidote","A cure for poison.",8,"EXPENDABLE","INVALID","TYPE_00","ITEM_0070",CellImage,"INVALID","I_BLUE","INVALID",1,10,10,true,6,60,false,false,true,true,false,"01",true,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
5,"Max Potion","Fully restores health and
temporarily maximizes the
size of your Health Gauge.",3,"EXPENDABLE","INVALID","TYPE_00","ITEM_0012",CellImage,"INVALID","I_YELLOW","INVALID",3,2,2,true,210,2138,false,false,true,true,false,"01",true,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
6,"Ancient Potion","Fully restores health and
temporarily maximizes the size of
your Health and Stamina Gauges.",4,"EXPENDABLE","INVALID","TYPE_00","ITEM_0012",CellImage,"INVALID","I_YELLOW","GREAT",5,1,1,true,345,3454,false,false,true,true,false,"01",true,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
7,"Nulberry","A mysterious berry that cures various
blights.",10,"EXPENDABLE","INVALID","TYPE_00","ITEM_0036",CellImage,"INVALID","I_BLUE","INVALID",2,10,10,true,120,1200,false,false,true,true,false,"01",true,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
8,"Ration","Food that restores a bit of stamina.
It can also be used on the Portable
BBQ Grill to have a meal.",5,"EXPENDABLE","INVALID","TYPE_00","ITEM_0014",CellImage,"INVALID","I_BROWN","INVALID",1,10,10,true,3,30,false,false,true,true,false,"01",true,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
9,"Well-done Steak","A hearty roast that restores health
and stamina and boosts both their
max gauges. So tasty!",5,"EXPENDABLE","INVALID","TYPE_00","ITEM_0014",CellImage,"INVALID","I_ORANGE","INVALID",2,5,5,true,48,96,false,false,true,true,false,"01",true,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
10,"Rare Steak","Restores health and stamina and
moderately increases the size
of your Health Gauge temporarily.",6,"EXPENDABLE","INVALID","TYPE_00","ITEM_0014",CellImage,"INVALID","I_IVORY","INVALID",1,10,10,true,3,30,false,false,true,true,false,"01",true,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
11,"Burnt Meat","Restores stamina, but it may
be a bit too charred to provide
any healing effects...",7,"EXPENDABLE","INVALID","TYPE_00","ITEM_0014",CellImage,"INVALID","I_GRAY","INVALID",1,10,10,true,1,10,false,false,true,true,false,"01",true,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
12,"Lifepowder","Produces a cloud that heals
you and anyone nearby.",27,"EXPENDABLE","INVALID","TYPE_00","ITEM_0010",CellImage,"INVALID","I_IVORY","INVALID",4,3,3,true,190,480,false,false,false,true,false,"01",true,"00",false,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
13,"Raw Meat","Meat carved from a monster.
Can be cooked, combined, 
or used to set a trap.",60,"EXPENDABLE","INVALID","TYPE_00","ITEM_0014",CellImage,"INVALID","I_RED","INVALID",1,10,10,false,5,50,false,false,false,true,false,"00",false,"01",true,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
14,"Barrel Bomb","A small time bomb.",66,"EXPENDABLE","INVALID","TYPE_00","ITEM_0016",CellImage,"INVALID","I_YELLOW","INVALID",2,10,10,false,16,156,false,false,false,true,false,"00",false,"01",true,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
15,"Large Barrel Bomb","A bomb that can be rolled after
placing it on the ground. Strike
it to trigger a powerful blast.",68,"EXPENDABLE","TYPE_00","TYPE_00","ITEM_0016",CellImage,"INVALID","I_VERMILION","INVALID",3,2,2,false,52,518,false,false,false,true,false,"00",false,"01",true,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
16,"Flash Pod","Slinger ammo that causes a violent
flash on impact. Will temporarily blind
monsters if used in front of them.",77,"EXPENDABLE","INVALID","TYPE_01","ITEM_0061",CellImage,"INVALID","I_YELLOW","INVALID",2,3,3,true,57,572,false,false,false,true,false,"00",false,"01",true,"00",false,"00",false,"00",false,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
17,"Stone","Slinger ammo that can be used to
hit faraway plant life and bombs.",729,"EXPENDABLE","INVALID","TYPE_01","ITEM_0061",CellImage,"INVALID","I_GRAY","INVALID",1,20,20,true,0,0,false,false,false,false,false,"00",false,"00",false,"00",false,"00",false,"01",true,"00",false,"00","00000002","00000000","00000000","NONE","NONE"
