"Index","Recipe Number","ID","Name","Uprades From","Key Item","Key Monster","Key Story","Item 1","Number 1","Item 2","Number 2","Item 3","Number 3","Item 4","Number 4","Can Shortcut"
0,0,1,"Hope Lance I","","","-","00000000","","","","","","","","",false
1,1,2,"Hope Lance II","Hope Lance I","","-","00000000","Iron Ore",2,"","","","","","",false
2,2,3,"Hope Lance III","Hope Lance II","","-","86FD6D00","Dragonite Ore",3,"Machalite Ore",2,"","","","",false
3,3,4,"Hope Lance IV","Hope Lance III","","-","65760700","Carbalite Ore",4,"","","","","","",false
4,4,5,"Hope Lance V","Hope Lance IV","","-","0D846690","Monster Hardbone",4,"Fucium Ore",5,"","","","",false
5,5,72,"Esperanza Lance","Hope Lance V","","Arkveld","00000000","Hunter Symbol I",5,"Bird Wyvern Gem",1,"","","","",false
6,6,6,"Bone Lance I","","","-","00000000","Mystery Bone",2,"","","","","","",false
7,7,7,"Bone Lance II","Bone Lance I","","-","E00F49A0","Sturdy Bone",2,"Monster Fluid",1,"","","","",false
8,8,8,"Bone Lance III","Bone Lance II","","-","B89E2700","Tough Guardian Bone",2,"","","","","","",false
9,9,9,"Bone Lance IV","Bone Lance III","","-","85F88180","Great Stoutbone",4,"Colossal Bone",2,"","","","",false
10,10,10,"Hard Bone Lance","Bone Lance IV","","Arkveld","00000000","Hunter Symbol I",5,"Monster Hardbone",5,"Dragonbone Relic",1,"Beast Gem",1,false
11,11,11,"Chrome Drill I","","","-","E00F49A0","Machalite Ore",1,"Earth Crystal",2,"","","","",false
12,12,12,"Chrome Drill II","Chrome Drill I","","-","B89E2700","Lightcrystal",1,"Icium",2,"","","","",false
13,13,13,"Chrome Drill III","Chrome Drill II","","-","85F88180","Fucium Ore",4,"Gracium",3,"Monster Keenbone",3,"","",false
14,14,14,"Chrome Lance","Chrome Drill III","","Arkveld","00000000","Hunter Symbol I",5,"Novacrystal",1,"Wyvern Gem",1,"","",false
15,15,15,"Quematrice Lanza I","","","Quematrice","00000000","Quematrice Scale",3,"Quematrice Igniter",2,"Quematrice Crest",1,"","",false
16,16,16,"Quematrice Lanza II","Quematrice Lanza I","","Rompopolo","00000000","Firestone",1,"Quematrice Tail",1,"Dragonite Ore",1,"","",false
17,17,17,"Quematrice Lanza III","Quematrice Lanza II","","-","65760700","Quematrice Certificate S",2,"Quematrice Igniter+",5,"Quematrice Crest+",3,"","",true
18,18,18,"Quematrice Lanza IV","Quematrice Lanza III","Nu Udra Certificate S","-","00000000","Nu Udra Certificate S",3,"Quematrice Hide+",6,"Inferno Sac",5,"Wyvern Gem",1,false
19,19,19,"Firetrail Kaminet","Quematrice Lanza IV","","Arkveld","00000000","Hunter Symbol I",5,"Quematrice Scale+",6,"Nu Udra Flamegem",1,"","",false
20,20,20,"Barina Sarissa I","","","Lala Barina","00000000","Lala Barina Shell",3,"Lala Barina Mucus",2,"Lala Barina Claw",1,"","",false
21,21,21,"Barina Sarissa II","Barina Sarissa I","","Nerscylla","00000000","Nerscylla Claw",1,"Lala Barina Floret",2,"Lala Barina Stinger",1,"","",false
22,22,22,"Barina Sarissa III","Barina Sarissa II","","-","65760700","Lala Barina Certificate S",2,"Lala Barina Mucus+",5,"Lala Barina Claw+",3,"","",false
23,23,23,"Barina Sarissa IV","Barina Sarissa III","Monster Hardbone","-","00000000","Monster Hardbone",3,"Lala Barina Floret+",6,"Lala Barina Stinger+",4,"","",false
24,24,24,"Lala Aviculari","Barina Sarissa IV","","Arkveld","00000000","Hunter Symbol I",5,"Lala Barina Carapace",6,"Monster Broth",4,"Bird Wyvern Gem",1,false
25,25,25,"Balahara Lance I","","","Balahara","00000000","Balahara Scale",3,"Balahara Skull",1,"Aqua Sac",1,"","",false
26,26,26,"Balahara Lance II","Balahara Lance I","","-","D9C1E4C0","Guardian Doshaguma Claw",1,"Balahara Shell",2,"Balahara Tail",1,"","",false
27,27,27,"Balahara Lance III","Balahara Lance II","Balahara Certificate S","-","00000000","Balahara Certificate S",2,"Balahara Skull+",2,"Torrent Sac",2,"Balahara Black Pearl",1,true
28,28,28,"Balahara Lance IV","Balahara Lance III","Uth Duna Certificate S","-","00000000","Uth Duna Certificate S",3,"Balahara Carapace",5,"Wyvern Gem",1,"","",false
29,29,29,"Sandsea Prallaya","Balahara Lance IV","","Arkveld","00000000","Hunter Symbol I",5,"Balahara Scale+",6,"Uth Duna Watergem",1,"","",false
30,30,30,"Dosha Fierceborer I","","","Doshaguma","00000000","Doshaguma Fur",3,"Doshaguma Claw",2,"Doshaguma Fang",1,"","",false
31,31,31,"Dosha Fierceborer II","Dosha Fierceborer I","","-","D9C1E4C0","Guardian Doshaguma Claw",1,"Doshaguma Hide",3,"Tough Guardian Bone",1,"","",false
