"Sort ID","ID","Series","Name","Model ID","Price","Type Sort ID","Type","Rarity","Attack","True Attack","Affinity","Defense Bonus","Element","Element Attack","Sharpness Bar","Sharpness Bar (Handicraft)","Slot 1","Slot 2","Slot 3","Hunting Horn Type","Notes","Melodies","Echo Wave","Echo Bubble","Shelling Type","Shell Level","Switch Axe Phial Type","Switch Axe Phial Value","Charge Blade Phial Type","Kinsect Lv","Skill 1","Skill 1 Level","Skill 2","Skill 2 Level"
0,"LongSword_000","Expedition Tree","Hope Blade I",4,200,1,"Great Sword",1,432,90,0,0,"-",0,"","",0,0,0,"","","","","","","","","","","","","","",""
1,"LongSword_001","Expedition Tree","Hope Blade II",4,500,1,"Great Sword",1,480,100,0,0,"-",0,"","",0,0,0,"","","","","","","","","","","","Speed Sharpening",1,"",""
2,"LongSword_002","Expedition Tree","Hope Blade III",4,1500,1,"Great Sword",3,624,130,0,0,"-",0,"","",0,0,0,"","","","","","","","","","","","Speed Sharpening",1,"Critical Eye",1
3,"LongSword_003","Expedition Tree","Hope Blade IV",4,4000,1,"Great Sword",5,768,160,0,0,"-",0,"","",2,1,0,"","","","","","","","","","","","Speed Sharpening",2,"Critical Eye",1
4,"LongSword_004","Expedition Tree","Hope Blade V",4,14000,1,"Great Sword",7,912,190,0,0,"-",0,"","",3,2,0,"","","","","","","","","","","","Speed Sharpening",2,"Critical Eye",1
5,"LongSword_155","Expedition Tree","Esperanza Blade",4,20000,1,"Great Sword",8,1008,210,0,0,"-",0,"","",3,2,1,"","","","","","","","","","","","Speed Sharpening",2,"Critical Eye",2
6,"LongSword_051","G. Rathalos Tree","Albirath Wing I",100000,2600,1,"Great Sword",4,768,160,0.15,0,"Fire",280,"","",1,0,0,"","","","","","","","","","","","Master's Touch",1,"Critical Element",1
7,"LongSword_052","G. Rathalos Tree","Albirath Wing II",100000,10000,1,"Great Sword",6,864,180,0.15,0,"Fire",340,"","",2,1,0,"","","","","","","","","","","","Master's Touch",1,"Critical Element",1
8,"LongSword_053","G. Rathalos Tree","Whitefire Rathguard",100000,20000,1,"Great Sword",8,1008,210,0.15,0,"Fire",400,"","",3,2,1,"","","","","","","","","","","","Master's Touch",1,"Critical Element",1
9,"LongSword_036","Ore Tree","Buster Sword I",10004,800,1,"Great Sword",2,576,120,0,0,"-",0,"","",0,0,0,"","","","","","","","","","","","Critical Draw",1,"",""
