"Index","Recipe Number","ID","Name","Uprades From","Key Item","Key Monster","Key Story","Item 1","Number 1","Item 2","Number 2","Item 3","Number 3","Item 4","Number 4","Can Shortcut"
0,0,1,"Hope Axe I","","","-","00000000","","","","","","","","",false
1,1,2,"Hope Axe II","Hope Axe I","","-","00000000","Iron Ore",2,"","","","","","",false
2,2,3,"Hope Axe III","Hope Axe II","","-","86FD6D00","Dragonite Ore",3,"Machalite Ore",2,"","","","",false
3,3,4,"Hope Axe IV","Hope Axe III","","-","65760700","Carbalite Ore",4,"","","","","","",false
4,4,5,"Hope Axe V","Hope Axe IV","","-","0D846690","Monster Hardbone",4,"Fucium Ore",5,"","","","",false
5,5,67,"Esperanza Axe","Hope Axe V","","Arkveld","00000000","Hunter Symbol I",5,"Bird Wyvern Gem",1,"","","","",false
6,6,6,"Bone Axe I","","","-","00000000","Mystery Bone",2,"","","","","","",false
7,7,7,"Bone Axe II","Bone Axe I","","-","E00F49A0","Sturdy Bone",2,"Monster Fluid",1,"","","","",false
8,8,8,"Bone Axe III","Bone Axe II","","-","B89E2700","Tough Guardian Bone",2,"","","","","","",false
9,9,9,"Bone Axe IV","Bone Axe III","","-","85F88180","Great Stoutbone",4,"Colossal Bone",2,"","","","",false
10,10,10,"Bone Smasher","Bone Axe IV","","Arkveld","00000000","Hunter Symbol I",5,"Monster Hardbone",5,"Dragonbone Relic",1,"Beast Gem",1,false
11,11,11,"Iron Accelerator I","","","-","E00F49A0","Machalite Ore",1,"Earth Crystal",2,"","","","",false
12,12,12,"Iron Accelerator II","Iron Accelerator I","","-","B89E2700","Lightcrystal",1,"Icium",2,"","","","",false
13,13,13,"Iron Accelerator III","Iron Accelerator II","","-","85F88180","Fucium Ore",4,"Gracium",3,"Monster Keenbone",3,"","",false
14,14,14,"Chrome Accelerator","Iron Accelerator III","","Arkveld","00000000","Hunter Symbol I",5,"Novacrystal",1,"Wyvern Gem",1,"","",false
15,15,15,"Barina Hache I","","","Lala Barina","00000000","Lala Barina Shell",3,"Lala Barina Mucus",2,"Lala Barina Claw",1,"","",false
16,16,16,"Barina Hache II","Barina Hache I","","Nerscylla","00000000","Nerscylla Claw",1,"Lala Barina Floret",2,"Lala Barina Stinger",1,"","",false
17,17,17,"Barina Hache III","Barina Hache II","","-","65760700","Lala Barina Certificate S",2,"Lala Barina Mucus+",5,"Lala Barina Claw+",3,"","",true
18,18,18,"Barina Hache IV","Barina Hache III","Monster Hardbone","-","00000000","Monster Hardbone",3,"Lala Barina Floret+",6,"Lala Barina Stinger+",4,"","",false
19,19,19,"Lala Selenocosmi","Barina Hache IV","","Arkveld","00000000","Hunter Symbol I",5,"Lala Barina Carapace",6,"Monster Broth",4,"Bird Wyvern Gem",1,false
20,20,20,"Golba Vandal I","","","Congalala","00000000","Congalala Pelt",3,"Congalala Claw",2,"Congalala Fang",1,"","",false
21,21,21,"Golba Vandal II","Golba Vandal I","","-","65760700","Congalala Certificate S",1,"Congalala Claw+",5,"Congalala Fang+",4,"Conga Pelt+",2,true
22,22,22,"Gundava Vandal","Golba Vandal II","","Arkveld","00000000","Hunter Symbol I",5,"Vibrant Pelt+",2,"Beast Gem",1,"","",false
23,23,23,"Dosha Fleshhacker I","","","Doshaguma","00000000","Doshaguma Fur",3,"Doshaguma Claw",2,"Doshaguma Fang",1,"","",false
24,24,24,"Dosha Fleshhacker II","Dosha Fleshhacker I","","-","D9C1E4C0","Guardian Doshaguma Claw",1,"Doshaguma Hide",3,"Tough Guardian Bone",1,"","",false
25,25,25,"Dosha Fleshhacker III","Dosha Fleshhacker II","Doshaguma Certificate S","-","00000000","Doshaguma Certificate S",2,"Doshaguma Claw+",6,"Doshaguma Fang+",4,"","",false
26,26,68,"Fleshhacker Yaogahaac","Dosha Fleshhacker III","","Arkveld","00000000","Hunter Symbol II",5,"Doshaguma Hide+",6,"Beast Gem",1,"","",false
27,27,26,"Uth Olacha I","","","-","97DC3400","Uth Duna Certificate",1,"Uth Duna Claw",2,"Uth Duna Cilia",1,"","",false
28,28,27,"Uth Olacha II","Uth Olacha I","Balahara Certificate S","-","00000000","Balahara Certificate S",1,"Torrent Sac",3,"Dragonbone Relic",1,"","",false
29,29,28,"Uth Olacha III","Uth Olacha II","Uth Duna Certificate S","-","00000000","Uth Duna Certificate S",3,"Uth Duna Claw+",5,"Uth Duna Cilia+",3,"Uth Duna Plate",1,false
30,30,29,"Olacha-of-the-Waves","Uth Olacha III","","Arkveld","00000000","Hunter Symbol III",5,"Uth Duna Tentacle+",6,"Uth Duna Hide+",6,"Uth Duna Watergem",1,false
31,31,30,"Windsunder Axe I","","","Hirabami","00000000","Hirabami Scale",3,"Hirabami Tail Claw",2,"Frost Sac",1,"","",false
32,32,31,"Windsunder Axe II","Windsunder Axe I","Hirabami Certificate S","-","00000000","Hirabami Certificate S",1,"Hirabami Tail Claw+",4,"Freezer Sac",3,"","",true
33,33,32,"Windsunder Axe III","Windsunder Axe II","Jin Dahaad Certificate S","-","00000000","Jin Dahaad Certificate S",3,"Hirabami Hide+",5,"Wyvern Gem",1,"","",false
34,34,33,"Windsunder Sakibami","Windsunder Axe III","","Arkveld","00000000","Hunter Symbol I",5,"Hirabami Webbing+",6,"Jin Dahaad Icegem",1,"","",false
35,35,34,"Nu Zhangyu I","","","Nu Udra","00000000","Nu Udra Hide",3,"Nu Udra Spike",2,"Nu Udra Oilmucus",1,"","",false
36,36,35,"Nu Zhangyu II","Nu Zhangyu I","Nu Udra Certificate S","-","00000000","Nu Udra Certificate S",3,"Nu Udra Spike+",5,"Nu Udra Oilmucus+",4,"Nu Udra Cerebrospinal Fluid",1,false
37,37,36,"Abaddonian Zhangyu","Nu Zhangyu II","","Arkveld","00000000","Hunter Symbol III",5,"Nu Udra Tentacle+",6,"Nu Udra Horn+",4,"Nu Udra Flamegem",1,false
38,38,37,"Dosha Gorehacker I","","","-","D9C1E4C0","Guardian Doshaguma Fur",3,"Guardian Doshaguma Claw",2,"Guardian Doshaguma Fang",1,"","",false
39,39,38,"Dosha Gorehacker II","Dosha Gorehacker I","G. Doshaguma Certificate S","-","00000000","G. Doshaguma Certificate S",2,"Guardian Doshaguma Claw+",6,"Guardian Doshaguma Fang+",4,"Guardian Blood+",1,true
40,40,39,"Gorehacker Urgahaac","Dosha Gorehacker II","","Arkveld","00000000","Hunter Symbol II",5,"Guardian Doshaguma Fur+",6,"Guardian Pelt+",6,"Beast Gem",1,false
41,41,40,"Albirath Flamesplitter I","","","-","D9C1E4C0","Guardian Rathalos Scale",3,"Guardian Rathalos Webbing",2,"Flame Sac",1,"","",false
42,42,41,"Albirath Flamesplitter II","Albirath Flamesplitter I","G. Rathalos Certificate S","-","00000000","G. Rathalos Certificate S",2,"Guardian Rathalos Wing",5,"Guardian Rathalos Plate",1,"Guardian Blood+",1,false
43,43,42,"Albirath Blaze Splitter","Albirath Flamesplitter II","","Arkveld","00000000","Hunter Symbol II",5,"Guardian Rathalos Carapace",6,"Guardian Rathalos Ruby",1,"Guardian Scale+",6,false
44,44,43,"Nihil Switch Axe I","","","Xu Wu","00000000","Xu Wu Hide",3,"Xu Wu Claw",2,"Xu Wu Fang",1,"","",false
45,45,44,"Nihil Switch Axe II","Nihil Switch Axe I","Xu Wu Certificate S","-","00000000","Xu Wu Certificate S",2,"Xu Wu Claw+",6,"Xu Wu Fang+",4,"Xu Wu Cerebrospinal Fluid",1,true
46,46,45,"Brutus's Abolishment","Nihil Switch Axe II","","Arkveld","00000000","Hunter Symbol II",5,"Golden Corneum+",6,"Xu Wu Tentacle+",4,"Xu Wu Umbragem",1,false
47,47,46,"G. Veldian Securis I","","","Guardian Arkveld","00000000","Guardian Scale",3,"Guardian Pelt",3,"Guardian Blood",1,"Tough Guardian Bone",2,false
48,48,47,"G. Veldian Securis II","G. Veldian Securis I","","-","85F88180","Guardian Scale+",6,"Guardian Pelt+",6,"Guardian Blood+",3,"Dragonbone Relic",1,false
49,49,48,"G. Indomitable Perceval","G. Veldian Securis II","","Arkveld","00000000","Hunter Symbol III",5,"Arkveld Calloushell",4,"Arkveld Tail",2,"Arkveld Gem",1,false
50,50,49,"Beak Axe I","","","Yian Kut-Ku","00000000","Yian Kut-Ku Certificate S",1,"Kut-Ku Wing",3,"Kut-Ku Ear",2,"Kut-Ku Scale+",5,false
51,51,50,"Beak Axe II","Beak Axe I","Nu Udra Certificate S","-","00000000","Nu Udra Certificate S",2,"Giant Beak",4,"Inferno Sac",4,"Bird Wyvern Gem",1,false
52,52,51,"Sawbill Axe","Beak Axe II","","Arkveld","00000000","Hunter Symbol I",5,"Kut-Ku Carapace",6,"Nu Udra Flamegem",1,"","",false
53,53,52,"Dragonmaiden Axe I","","","Rathian","00000000","Rathian Certificate S",1,"Rathian Webbing",3,"Rathian Spike+",2,"Rathian Scale+",5,false
54,54,53,"Dragonmaiden Axe II","Dragonmaiden Axe I","Rey Dau Certificate S","-","00000000","Rey Dau Certificate S",2,"Rathian Carapace",6,"Rath Medulla",1,"Wyvern Gem",1,false
55,55,54,"Gríðr's Landmaker","Dragonmaiden Axe II","","Arkveld","00000000","Hunter Symbol I",5,"Rathian Scale+",5,"Rathian Ruby",1,"","",false
56,56,55,"Morphing Fulgur I","","","Guardian Fulgur Anjanath","00000000","Guardian Fulgur Certificate S",2,"Guardian Fulgur Fang+",5,"Guardian Fulgur Tail",1,"Thunder Sac",4,false
57,57,56,"Fulgurswitch Guardiana","Morphing Fulgur I","","Arkveld","00000000","Hunter Symbol II",5,"Guardian Fulgur Nosebone+",4,"Guardian Fulgur Pelt+",6,"Guardian Fulgur Gem",1,false
58,58,59,"Rath Flamesplitter I","","","Rathalos","00000000","Rathalos Certificate S",2,"Rathalos Carapace",5,"Rathalos Wing",4,"Rath Medulla",1,false
59,59,60,"Rath Blaze Splitter","Rath Flamesplitter I","","Arkveld","00000000","Hunter Symbol II",5,"Rathalos Scale+",6,"Rathalos Tail",1,"Rathalos Ruby",1,false
60,60,61,"Eisenleib I","","","Gore Magala","00000000","Gore Magala Certificate S",3,"Gore Magala Ripclaw+",4,"Gore Magala Tail",1,"Frenzy Shard",5,false
61,61,62,"Eisengeist","Eisenleib I","","Arkveld","00000000","Hunter Symbol III",5,"Gore Magala Feeler+",2,"Gore Magala Nyctgem",1,"Frenzy Crystal",5,false
62,62,63,"Veldian Securis I","","","Arkveld","00000000","Arkveld Certificate S",3,"Arkveld Scale+",4,"White Arkveld Pelt",2,"Wyvern Gem",1,false
63,63,69,"Indomitable Perceval","Veldian Securis I","","Arkveld","00000000","Hunter Symbol III",5,"Arkveld Armorplate",5,"Arkveld Horn+",3,"Arkveld Gem",1,false
